//大二下::循环系统::英文
问答题：
"accelerated hypertension","音标：/ækˈsɛlərˌeɪtɪd/ /ˌhaɪpərˈtɛnʃən/<br>释义：急进型高血压病<br>词组：""accelerated""（由 ad-/ac- “向、加强” + celer “快速” + -ate/-ed 构成，表示“加速的、进展迅速的”。）<br>词组：""hypertension""（由 hyper- “过度” + tens “张力、伸展” + -ion “状态” 构成，表示“压力过高的状态”。）<br>构词：整体对应“急进型高血压病”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::accelerated-hypertension 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"active hyperemia","音标：/ˈæktɪv/ /hyperemia/<br>释义：主动性充血<br>词组：""active""（主动的、活跃的，源自拉丁语 activus，来自 agere “驱动、行动”。）<br>词组：""hyperemia""（由 hyper- “过度” + -emia “血液状态” 构成，表示“局部血液过多、充血”。）<br>构词：整体对应“主动性充血”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::active-hyperemia 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"acute infective endocarditis","音标：/əˈkjut/ /ˌɪnˈfɛktɪv/ /endocarditis/<br>释义：急性感染性心内膜炎<br>词组：""acute""（急性的，源自拉丁语 acutus，原义为 sharp / pointed。）<br>词组：""infective""（由 infect “感染” + -ive “具有……性质的” 构成，表示“感染性的”。）<br>词组：""endocarditis""（由 endo- “内” + cardi “心” + -itis “炎症” 构成，表示“心内膜炎”。）<br>构词：整体对应“急性感染性心内膜炎”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::acute-infective-endocarditis 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"acute pericarditis","音标：/əˈkjut/ /pericarditis/<br>释义：急性心包炎<br>词组：""acute""（急性的，源自拉丁语 acutus，原义为 sharp / pointed。）<br>词组：""pericarditis""（由 peri- “周围” + cardi “心” + -itis “炎症” 构成，表示“心包炎”。）<br>构词：整体对应“急性心包炎”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::acute-pericarditis 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"adhesion","音标：/æˈdhiʒən/<br>释义：黏附反应<br>词组：""adhesion""（由 ad- “向、附着于” + haerere “粘附” 演变而来，表示“黏附”。）<br>构词：整体对应“黏附反应”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::adhesion 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"aggregation","音标：/ˌægrəˈgeɪʃən/<br>释义：黏集反应<br>词组：""aggregation""（由 ag-/ad- “向一起” + greg “群、群集” + -ation “过程” 构成，表示“聚集、黏集”。）<br>构词：整体对应“黏集反应”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::aggregation 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"air embolism","音标：/ɛr/ /ˈɛmboʊˌlɪzəm/<br>释义：气体栓塞<br>词组：""air""（空气。）<br>词组：""embolism""（由 embol- “栓、塞入物” + -ism “状态、过程” 构成，表示“栓塞”。）<br>构词：整体对应“气体栓塞”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::air-embolism 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"amniotic fluid embolism","音标：/ˈæmniɔtɪk/ /fluɪd/ /ˈɛmboʊˌlɪzəm/<br>释义：羊水栓塞<br>词组：""amniotic""（由 amnion “羊膜” + -otic/-ic 构成，表示“羊膜的、羊水相关的”。）<br>词组：""fluid""（液体、流体，源自拉丁语 fluere “流动”。）<br>词组：""embolism""（由 embol- “栓、塞入物” + -ism “状态、过程” 构成，表示“栓塞”。）<br>构词：整体对应“羊水栓塞”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::amniotic-fluid-embolism 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"anasarca","音标：/anasarca/<br>释义：全身性水肿<br>词组：""anasarca""（源自希腊语 ana- “向上、遍及” + sarx/sark- “肉体”，表示“全身性水肿”。）<br>构词：整体对应“全身性水肿”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::anasarca 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"anemic infarct","音标：/əˈnimɪk/ /infarct/<br>释义：贫血性梗死<br>词组：""anemic""（由 an- “无、缺乏” + emia/haima “血” + -ic 构成，表示“贫血性的”。）<br>词组：""infarct""（源自拉丁语 infarcire “塞入、填满”，表示“梗死灶”。）<br>构词：整体对应“贫血性梗死”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::anemic-infarct 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
